OrderNumber,ProductName,size,Color,Category,ListPrice,Orderdate,Duedate,Shipdate,PromotionName,SalesRegion,OrderQuantity,UnitPrice,SalesAmount,DiscountAmount,TaxAmount
SO43843,Mountain-100,48,Silver,Bikes,3399.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Central,2,2039.994,4079.988,0,326.399
SO43843,Mountain-100,48,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Central,2,2024.994,4049.988,0,323.999
SO43843,HL Mountain Frame,46,Silver,Components,1204.3248,2011-01-29,2011-10-02,2011-05-02,No Discount,Central,2,722.5949,1445.1898,0,115.6152
SO43843,Mountain-100,44,Black,Bikes,Na,2011-01-29,2011-10-02,2011-05-02,No Discount,Central,5,2024.994,10124.97,0,809.9976
SO43843,HL Mountain Frame,38,Silver,Components,1204.3248,2011-01-29,2011-10-02,2011-05-02,No Discount,Central,2,722.5949,1445.1898,0,115.6152
SO43843,HL Mountain Frame,48,Silver,Components,1364.5,2011-01-29,2011-10-02,2011-05-02,No Discount,Central,1,818.7,818.7,0,65.496
SO43843,HL Mountain Frame,48,Black,Components,1349.6,2011-01-29,2011-10-02,2011-05-02,No Discount,Central,1,809.76,809.76,0,64.7808
SO43843,Mountain-100,38,Silver,Bikes,3399.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Central,2,2039.994,4079.988,0,326.399
SO43843,Mountain Bike Socks,M,White,Clothing,9.5,2011-01-29,2011-10-02,2011-05-02,No Discount,Central,2,5.7,11.4,0,0.912
SO43843,Mountain-100,42,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Central,3,2024.994,6074.982,0,485.9986
SO43844,Mountain-100,38,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Na,4,2024.994,8099.976,0,647.9981
SO43844,Mountain-100,42,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Na,2,2024.994,4049.988,0,323.999
SO43844,Mountain-100,44,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Na,3,2024.994,6074.982,0,485.9986
SO43844,Mountain-100,48,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Na,1,2024.994,2024.994,0,161.9995
SO43845,LL Road Frame,44,Red,Components,306.5636,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,1,183.9382,183.9382,0,14.7151
SO43845,Long-Sleeve Logo Jersey,L,Multi,Clothing,48.0673,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,3,28.8404,86.5212,0,6.9217
SO43845,Road-650,52,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,1,419.4589,419.4589,0,33.5567
SO43845,Road-650,48,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,2,419.4589,838.9178,0,67.1134
SO43845,Road-650,62,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,2,419.4589,838.9178,0,67.1134
SO43845,Road-450,58,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,1,874.794,874.794,0,69.9835
SO43845,Road-650,58,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,2,419.4589,838.9178,0,67.1134
SO43845,Road-150,56,Red,Bikes,3578.27,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,2,2146.962,4293.924,0,343.5139
SO43845,LL Road Frame,60,Red,Components,306.5636,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,1,183.9382,183.9382,0,14.7151
SO43845,AWC Logo Cap,Na,Multi,Clothing,8.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,4,5.1865,20.746,0,1.6597
SO43846,LL Road Frame,60,Red,Components,306.5636,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,3,183.9382,551.8146,0,44.1452
SO43846,AWC Logo Cap,Na,Multi,Clothing,8.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,5.1865,5.1865,0,0.4149
SO43846,LL Road Frame,52,Black,Components,297.6346,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,178.5808,178.5808,0,14.2865
SO43846,LL Road Frame,44,Red,Components,306.5636,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,183.9382,183.9382,0,14.7151
SO43847,Long-Sleeve Logo Jersey,L,Multi,Clothing,48.0673,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,28.8404,28.8404,0,2.3072
SO43847,AWC Logo Cap,Na,Multi,Clothing,8.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,5.1865,5.1865,0,0.4149
SO43847,Road-450,52,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,874.794,874.794,0,69.9835
SO43848,Mountain-100,44,Silver,Bikes,3399.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,1,2039.994,2039.994,0,163.1995
SO43848,Mountain-100,48,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,1,2024.994,2024.994,0,161.9995
SO43848,Mountain-100,38,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,1,2024.994,2024.994,0,161.9995
SO43848,Mountain-100,42,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,4,2024.994,8099.976,0,647.9981
SO43848,Mountain-100,38,Silver,Bikes,3399.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,2,2039.994,4079.988,0,326.399
SO43849,Mountain-100,42,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,2,2024.994,4049.988,0,323.999
SO43849,Long-Sleeve Logo Jersey,M,Multi,Clothing,48.0673,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,1,28.8404,28.8404,0,2.3072
SO43849,Mountain-100,44,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,2,2024.994,4049.988,0,323.999
SO43849,Mountain-100,38,Silver,Bikes,3399.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,2,2039.994,4079.988,0,326.399
